grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
مقدم‌زاده,"('m', 'o', 'q', 'a', 'd', 'd', 'a', 'm', 'z', 'A', 'd', 'e')",مُقَدَّم‌زادِه,,,9,7,False,,
طنازی,"('t', 'a', 'n', 'n', 'A', 'z', 'i')",طَنازی,,,4,3,False,,
کاظم‌‌پور,"('k', 'A', 'z', 'e', 'm', 'p', 'u', 'r')",کاظِم‌‌پور,,,,,False,,
قدرتمند,"('q', 'o', 'd', 'r', 'a', 't', 'm', 'a', 'n', 'd')",قُدرَتمَند,,,,,False,,
از‌جان‌گذشته,"('?', 'a', 'z', 'j', 'A', 'n', 'g', 'o', 'z', 'a', 'S', 't', 'e')",اَز‌جان‌گُذَشتِه,,,,,False,,
زیبایی‌طلب,"('z', 'i', 'b', 'A', 'y', 'i', 't', 'a', 'l', 'a', 'b')",زیبایی‌طَلَب,,,,,False,,
ادارات‌کل,"('?', 'e', 'd', 'A', 'r', 'A', 't', 'e', 'k', 'o', 'l', 'l')",اِداراتِ‌کُل,,,,,False,,
رجیم,"('r', 'a', 'j', 'i', 'm')",رَجیم,,,,,False,,
مقدسی,"('m', 'o', 'q', 'a', 'd', 'd', 'a', 's', 'i')",مُقَدَّسی,,,,,False,,
عقیدتی,"('?', 'a', 'q', 'i', 'd', 'a', 't', 'i')",عَقیدَتی,,,,,False,,
آموزگار,"('?', 'A', 'm', 'u', 'z', 'e', 'g', 'A', 'r')",آموزِگار,,,,,False,,
لب‌بر,"('l', 'a', 'b', 'b', 'o', 'r')",لَبُ‌بر,,,,,False,,
کربلائی‌‌زاده,"('k', 'a', 'r', 'b', 'a', 'l', 'A', '?', 'i', 'z', 'A', 'd', 'e')",کَربَلائی‌‌زادِه,,,,,False,,
خیرآبادی,"('x', 'e', 'y', 'r', 'A', 'b', 'A', 'd', 'i')",خِیرآبادی,,,,,False,,
تابه‌حال,"('t', 'A', 'b', 'e', 'h', 'A', 'l')",تابِه‌حال,,,5,5,False,,
خفه‌کننده,"('x', 'a', 'f', 'e', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",خَفِه‌کُنَندِه,,,,,False,,
خیار,"('x', 'i', 'y', 'A', 'r')",خیار,,,3,3,False,,
مستعمره‌سازی,"('m', 'o', 's', 't', 'a', '?', 'm', 'e', 'r', 'e', 's', 'A', 'z', 'i')",مُستَعمِرِه‌سازی,,,11,8,False,,
سکرتین,"('s', 'e', 'k', 'r', 'e', 't', 'i', 'n')",سِکرِتین,,,,,False,,
شیرینی‌‌سازی,"('S', 'i', 'r', 'i', 'n', 'i', 's', 'A', 'z', 'i')",شیرینی‌‌سازی,,,,,False,,
آزما,"('?', 'A', 'z', 'm', 'A')",آزما,,,,,False,,
ننه,"('n', 'a', 'n', 'e', 'h')",نَنِه,,,,,False,,
پنج‌بعدی,"('p', 'a', 'n', 'j', 'b', 'o', '?', 'd', 'i')",پَنج‌بُعدی,,,,,False,,
پایی,"('p', 'A', 'y', 'i')",پایی,,,,,False,,
اسماعیل‌آباد,"('?', 'e', 's', 'm', 'A', '?', 'i', 'l', 'A', 'b', 'A', 'd')",اِسماعیل‌آباد,,,,,False,,
آمبولانس,"('?', 'A', 'm', 'b', 'o', 'l', 'A', 'n', 's')",آمبولانس,,,,,False,,
تشعشعی,"('t', 'a', 'S', 'a', '?', 'S', 'o', '?', 'i')",تَشَعشُعی,,,,,False,,
باستان,"('b', 'A', 's', 't', 'A', 'n')",باستان,,,,,False,,
زیاد,"('z', 'i', 'y', 'A', 'd')",زیاد,,,3,3,False,,
فریدهاشمی,"('f', 'a', 'r', 'i', 'd', 'h', 'A', 'S', 'e', 'm', 'i')",فَریدهاشِمی,,,,,False,,
استونی,"('?', 'e', 's', 't', 'o', 'n', 'i')",اِستونی,3,,,,False,,
گلشنی,"('g', 'o', 'l', 'S', 'a', 'n', 'i')",گُلشَنی,,,,,False,,
سربه‌تو,"('s', 'a', 'r', 'b', 'e', 't', 'u')",سَربِه‌تو,,,,,False,,
میکانیکی,"('m', 'i', 'k', 'A', 'n', 'i', 'k', 'i')",میکانیکی,,,,,False,,
کرم,"('k', 'e', 'r', 'e', 'm')",کِرِم,,,,,False,,
روز‌افزون,"('r', 'u', 'z', 'a', 'f', 'z', 'u', 'n')",روز‌اَفزون,,,,,False,,
شهزادی,"('S', 'a', 'h', 'z', 'A', 'd', 'i')",شَهزادی,,,,,False,,
شمارگان,"('S', 'o', 'm', 'A', 'r', 'g', 'A', 'n')",شُمارگان,,,,,False,,
سرمنشا,"('s', 'a', 'r', 'm', 'a', 'n', 'S', 'a', '?')",سَرمَنشَا,,,,,False,,
ملامحسن,"('m', 'o', 'l', 'l', 'A', 'm', 'o', 'h', 's', 'e', 'y')",مُلامُحسنِ,,,4,3,False,,
فارماکولژی,"('f', 'A', 'r', 'm', 'A', 'k', 'o', 'l', 'o', 'Z', 'i')",فارماکولُژی,6,,,,False,,
معراج‌نامه,"('m', 'e', '?', 'r', 'A', 'j', 'n', 'A', 'm', 'e')",مِعراج‌نامِه,,,,,False,,
در‌سر,"('d', 'a', 'r', 's', 'a', 'r', 'e')",دَر‌سَرِ,,,,,False,,
تامل‌برانگیزی,"('t', 'a', '?', 'a', 'm', 'm', 'o', 'l', 'b', 'a', 'r', 'a', 'n', 'g', 'i', 'z', 'i')",تَاَمُّل‌بَراَنگیزی,,,,,False,,
برآورد‌شده,"('b', 'a', 'r', 'A', 'v', 'a', 'r', 'd', 'e', 'S', 'o', 'd', 'e')",بَرآوَردِ‌شُدِه,,,,,False,,
دو‌پارچه,"('d', 'o', 'p', 'A', 'r', 'C', 'e')",دو‌پارچِه,1,,,,False,,
کاشکل,"('k', 'A', 'S', 'k', 'o', 'l')",کاشکُل,,,,,False,,
تغذیه‌ای,"('t', 'a', 'q', 'z', 'i', 'y', 'e', '?', 'i')",تَغذیِه‌ای,,,,,False,,
مویید,"('m', 'u', 'y', 'i', 'd')",مویید,,,,,False,,
کبوترخانه,"('k', 'a', 'b', 'u', 't', 'a', 'r', 'x', 'A', 'n', 'e')",کَبوتَرخانِه,,,,,False,,
اکید,"('?', 'a', 'k', 'i', 'd')",اَکید,,,,,False,,
کوته‌‌آستین,"('k', 'u', 't', 'a', 'h', '?', 'A', 's', 't', 'i', 'n')",کوتَه‌‌آستین,,,,,False,,
خفت‌آور,"('x', 'e', 'f', 'f', 'a', 't', 'A', 'v', 'a', 'r')",خِفَّت‌آوَر,,,6,6,False,,
تلمذ,"('t', 'a', 'l', 'a', 'm', 'm', 'o', 'z')",تَلَمُّذ,,,,,False,,
بر‌اثر,"('b', 'a', 'r', '?', 'a', 's', 'a', 'r', 'e')",بَر‌اَثَرِ,,,,,False,,
میاندورود,"('m', 'i', 'y', 'A', 'n', 'd', 'o', 'r', 'u', 'd')",میاندورود,5,,3,3,False,,
موصوف,"('m', 'o', 's', 'u', 'f')",موصوف,1,,,,False,,
دفینه,"('d', 'a', 'f', 'i', 'n', 'e')",دَفینِه,,,,,False,,
لژیون,"('l', 'e', 'Z', 'i', 'y', 'u', 'n')",لِژیون,,,,,False,,
پانامایی,"('p', 'A', 'n', 'A', 'm', 'A', 'y', 'i')",پانامایی,,,,,False,,
وفا,"('v', 'a', 'f', 'A')",وَفا,,,,,False,,
کنشی,"('k', 'o', 'n', 'e', 'S', 'i')",کُنِشی,,,,,False,,
جدیدالاحداث,"('j', 'a', 'd', 'i', 'd', 'o', 'l', '?', 'e', 'h', 'd', 'A', 's')",جَدیداُلاِحداث,,,11,8,False,,
قیافه‌‌شناسی,"('q', 'i', 'y', 'A', 'f', 'e', 'S', 'e', 'n', 'A', 's', 'i')",قیافِه‌‌شِناسی,,,"3,9","3,8",False,,
فرستاده,"('f', 'e', 'r', 'e', 's', 't', 'A', 'd', 'e')",فِرِستادِه,,,,,False,,
غیرکارتونی,"('q', 'e', 'y', 'r', 'e', 'k', 'A', 'r', 't', 'o', 'n', 'i')",غِیرِکارتونی,7,,,,False,,
ماهان,"('m', 'A', 'h', 'A', 'n')",ماهان,,,,,False,,
بوفالو,"('b', 'u', 'f', 'A', 'l', 'o')",بوفالو,,,,,False,,
برکش,"('b', 'a', 'r', 'k', 'e', 'S')",بَرکِش,,,,,False,,
میکرب‌شناسی,"('m', 'i', 'k', 'r', 'o', 'b', 'S', 'e', 'n', 'A', 's', 'i')",میکرُب‌شِناسی,,,,,False,,
بی‌سلاح,"('b', 'i', 's', 'e', 'l', 'A', 'h')",بی‌سِلاح,,,,,False,,
قطع‌‌نامه,"('q', 'a', 't', '?', 'n', 'A', 'm', 'e')",قَطع‌‌نامِه,,,,,False,,
جا‌روب,"('j', 'A', 'r', 'u', 'b')",جا‌روب,,,,,False,,
رفیعی‌پور,"('r', 'a', 'f', 'i', '?', 'i', 'p', 'u', 'r')",رَفیعی‌پور,,,,,False,,
بابابزرگ,"('b', 'A', 'b', 'A', 'b', 'o', 'z', 'o', 'r', 'g')",بابابُزُرگ,,,,,False,,
خوشحالی,"('x', 'o', 'S', 'h', 'A', 'l', 'i')",خوشحالی,1,,,,False,,
ژانت,"('Z', 'A', 'n', 'e', 't')",ژانِت,,,,,False,,
مرشدیان,"('m', 'o', 'r', 'S', 'e', 'd', 'i', 'y', 'A', 'n')",مُرشِدیان,,,8,6,False,,
تمیستوکلس,"('t', 'e', 'm', 'i', 's', 't', 'o', 'k', 'e', 'l', 's')",تِمیستوکِلس,,,,,False,,
ایلجار,"('?', 'i', 'l', 'j', 'A', 'r')",ایلجار,,,,,False,,
عمود‌‌پرواز,"('?', 'a', 'm', 'u', 'd', 'p', 'a', 'r', 'v', 'A', 'z')",عَمود‌‌پَرواز,,,,,False,,
اومانیست,"('?', 'u', 'm', 'A', 'n', 'i', 's', 't')",اومانیست,,,,,False,,
دریبل,"('d', 'i', 'r', 'i', 'b', 'l')",دِریبل,,,,,False,,
فارماکولژیک,"('f', 'A', 'r', 'm', 'A', 'k', 'o', 'l', 'o', 'Z', 'i', 'k')",فارماکولُژیک,6,,,,False,,
کشت‌پور,"('k', 'e', 'S', 't', 'p', 'u', 'r')",کِشت‌پور,,,,,False,,
چنگیز,"('C', 'a', 'n', 'g', 'i', 'z')",چَنگیز,,,,,False,,
دژبانی,"('d', 'e', 'Z', 'b', 'A', 'n', 'i')",دِژبانی,,,,,False,,
آب‌خوری,"('?', 'A', 'b', 'x', 'o', 'r', 'i')",آب‌خوری,,,,,False,,
دریوزه,"('d', 'a', 'r', 'y', 'u', 'z', 'e')",دَریوزِه,,,,,False,,
معین‌فر,"('m', 'o', '?', 'i', 'n', 'f', 'a', 'r')",مُعین‌فَر,,,,,False,,
کسب,"('k', 'a', 's', 'b')",کَسب,,,,,False,,
دوائر,"('d', 'a', 'v', 'A', '?', 'e', 'r')",دَوائِر,,,,,False,,
آبسال,"('?', 'A', 'b', 's', 'A', 'l')",آبسال,,,,,False,,
اسرا,"('?', 'o', 's', 'a', 'r', 'A')",اُسَرا,,,,,False,,
حسی,"('h', 'e', 's', 's', 'i')",حِسّی,,,,,False,,
مسکینی,"('m', 'e', 's', 'k', 'i', 'n', 'i')",مِسکینی,,,,,False,,
بازوفیلی,"('b', 'A', 'z', 'o', 'f', 'i', 'l', 'i')",بازوفیلی,3,,,,False,,
چند‌میلی‌متری,"('?', 'a', 'n', 'd', 'm', 'i', 'l', 'i', 'm', 'e', 't', 'r', 'i')",چَند‌میلی‌مِتری,,,,,False,,
مجار,"('m', 'a', 'j', 'A', 'r')",مَجار,,,,,False,,
اتصال‌دهنده,"('?', 'e', 't', 't', 'e', 's', 'A', 'l', 'd', 'a', 'h', 'a', 'n', 'd', 'e')",اِتِّصال‌دَهَندِه,,,6,4,False,,
به‌جد,"('b', 'e', 'j', 'e', 'd', 'd')",بِه‌جِد,,,,,False,,
فلس,"('f', 'a', 'l', 's')",فَلس,,,,,False,,
دم‌اسبی,"('d', 'o', 'm', 'a', 's', 'b', 'i')",دُم‌اَسبی,,,,,False,,
نشین,"('n', 'e', 'S', 'i', 'n')",نِشین,,,,,False,,
کتب,"('k', 'o', 't', 'o', 'b')",کُتُب,,,,,False,,
غدیر,"('q', 'a', 'd', 'i', 'r')",غَدیر,,,,,False,,
پیک‌نیک,"('p', 'i', 'k', 'n', 'i', 'k')",پیک‌نیک,,,,,False,,
جت‌مانند,"('j', 'e', 't', 'm', 'A', 'n', 'a', 'n', 'd')",جِت‌مانَند,,,,,False,,
شایعه‌‌سازی,"('S', 'A', 'y', 'e', '?', 'e', 's', 'A', 'z', 'i')",شایِعِه‌‌سازی,,,7,7,False,,
آویخته,"('?', 'A', 'v', 'i', 'x', 't', 'e')",آویختِه,,,,,False,,
حجج,"('h', 'o', 'j', 'a', 'j')",حُجَج,,,,,False,,
بازرس,"('b', 'A', 'z', 'r', 'a', 's')",بازرَس,,,,,False,,
بزرگنمائی,"('b', 'o', 'z', 'o', 'r', 'g', 'n', 'a', 'm', 'A', '?', 'i')",بُزُرگنَمائی,,,,,False,,
به‌شوخی,"('b', 'e', 'S', 'u', 'x', 'i')",بِه‌شوخی,,,,,False,,
غرب‌‌گرا,"('q', 'a', 'r', 'b', 'g', 'e', 'r', 'A')",غَرب‌‌گِرا,,,,,False,,
تابعیت,"('t', 'A', 'b', 'e', '?', 'i', 'y', 'y', 'a', 't')",تابِعیَّت,,,,,False,,
نمرود,"('n', 'a', 'm', 'r', 'u', 'd')",نَمرود,,,,,False,,
خوانده,"('x', 'A', 'n', 'd', 'e')",خواندِه,,1,,,False,,
نقد,"('n', 'a', 'q', 'd')",نَقد,,,,,False,,
ماتم‌سرا,"('m', 'A', 't', 'a', 'm', 's', 'a', 'r', 'A')",ماتَم‌سَرا,,,,,False,,
سپید‌دندان,"('s', 'e', 'p', 'i', 'd', 'd', 'a', 'n', 'd', 'A', 'n')",سِپیدَ‌دندان,,,,,False,,
انرژیک,"('?', 'e', 'n', 'e', 'r', 'Z', 'i', 'k')",اِنِرژیک,,,,,False,,
اسهالی,"('?', 'e', 's', 'h', 'A', 'l', 'i')",اِسهالی,,,,,False,,
جهمندی,"('j', 'a', 'h', 'm', 'a', 'n', 'd', 'i')",جَهمَندی,,,,,False,,
اردوباد,"('?', 'o', 'r', 'd', 'o', 'b', 'A', 'd')",اُردوباد,3,,,,False,,
عزت‌‌مند,"('?', 'e', 'z', 'z', 'a', 't', 'm', 'a', 'n', 'd')",عِزَّت‌‌مَند,,,,,False,,
امه,"('?', 'o', 'm', 'm', 'e')",اُمِّه,,,,,False,,
بریتیش,"('b', 'e', 'r', 'i', 't', 'i', 'S')",بِریتیش,,,,,False,,
قابل‌‌تفکیک,"('q', 'A', 'b', 'e', 'l', 'e', 't', 'a', 'f', 'k', 'i', 'k')",قابِلِ‌‌تَفکیک,,,,,False,,
لوطی,"('l', 'u', 't', 'i')",لوطی,,,,,False,,
شتر,"('S', 'o', 't', 'o', 'r')",شُتُر,,,,,False,,
ایمنی,"('?', 'i', 'm', 'e', 'n', 'i')",ایمِنی,,,,,False,,
هم‌افق,"('h', 'a', 'm', 'o', 'f', 'o', 'q')",هَم‌اُفُق,,,,,False,,
برافروزنده,"('b', 'a', 'r', 'a', 'f', 'r', 'u', 'z', 'a', 'n', 'd', 'e')",بَراَفروزَندِه,,,,,False,,
غفوریان,"('q', 'a', 'f', 'u', 'r', 'i', 'y', 'A', 'n')",غَفوریان,,,7,6,False,,
قالیشویی,"('q', 'A', 'l', 'i', 'S', 'u', 'y', 'i')",قالیشویی,,,,,False,,
شاد‌‌آباد,"('S', 'A', 'd', 'A', 'b', 'A', 'd')",شاد‌‌آباد,,,,,False,,
همسرگزینی,"('h', 'a', 'm', 's', 'a', 'r', 'g', 'o', 'z', 'i', 'n', 'i')",هَمسَرگُزینی,,,,,False,,
تهذیبی,"('t', 'a', 'h', 'z', 'i', 'b', 'i')",تَهذیبی,,,,,False,,
گچساران,"('g', 'a', 'C', 's', 'A', 'r', 'A', 'n')",گَچساران,,,,,False,,
تخته‌ای,"('t', 'a', 'x', 't', 'e', '?', 'i')",تَختِه‌ای,,,,,False,,
یزید‌بن‌معاویه,"('y', 'a', 'z', 'i', 'd', 'e', 'b', 'n', 'e', 'm', 'o', '?', 'A', 'v', 'i', 'y', 'e')",یَزیدِ‌بنِ‌مُعاَویِه,,,,,False,,
احداث‌شده,"('?', 'e', 'h', 'd', 'A', 's', 'S', 'o', 'd', 'e')",اِحداث‌شُدِه,,,,,False,,
یاسی,"('y', 'A', 's', 'i')",یاسی,,,,,False,,
الصالح,"('?', 'a', 's', 's', 'A', 'l', 'e', 'h')",اَلصِالح,,,,,False,,
جورج,"('j', 'o', 'r', 'j')",جورج,1,,,,False,,
نمره‌ای,"('n', 'o', 'm', 'r', 'e', '?', 'i')",نُمرِه‌ای,,,,,False,,
بوجاری,"('b', 'u', 'j', 'A', 'r', 'i')",بوجاری,,,,,False,,
تعدیلی,"('t', 'a', '?', 'd', 'i', 'l', 'i')",تَعدیلی,,,,,False,,
مرتب‌چینی,"('m', 'o', 'r', 'a', 't', 't', 'a', 'b', 'C', 'i', 'n', 'i')",مُرَتَّب‌چینی,,,,,False,,
گفتگو,"('g', 'o', 'f', 't', 'e', 'g', 'u', 'g', 'o', 'f', 't', 'o', 'g', 'u')",گُفتِگو,,,,,False,,
الحمد,"('?', 'a', 'l', 'h', 'a', 'm', 'd')",اَلحَمد,,,,,False,,
انکار‌نشدنی,"('?', 'e', 'n', 'k', 'A', 'r', 'n', 'a', 'S', 'o', 'd', 'a', 'n', 'i')",اِنکار‌نَشُدَنی,,,,,False,,
دفزن,"('d', 'a', 'f', 'z', 'a', 'n')",دَفزَن,,,,,False,,
لاینقطع,"('l', 'A', 'y', 'a', 'n', 'q', 'a', 't', 'e', '?')",لایَنقَطِع,,,,,False,,
فلینی,"('f', 'e', 'l', 'i', 'n', 'i')",فِلینی,,,,,False,,
عروسک‌‌گردانی,"('?', 'a', 'r', 'u', 's', 'a', 'k', 'g', 'a', 'r', 'd', 'A', 'n', 'i')",عَروسَک‌‌گَردانی,,,,,False,,
فوت‌‌شده,"('f', 'o', 't', 'S', 'o', 'd', 'e')",فوت‌‌شُدِه,1,,,,False,,
ویتانا,"('v', 'i', 't', 'A', 'n', 'A')",ویتانا,,,,,False,,
پاتیل,"('p', 'A', 't', 'i', 'l')",پاتیل,,,,,False,,
گردوئی,"('g', 'e', 'r', 'd', 'u', '?', 'i')",گِردوئی,,,,,False,,
مفرد,"('m', 'o', 'f', 'r', 'a', 'd')",مُفرَد,,,,,False,,
برنده,"('b', 'a', 'r', 'a', 'n', 'd', 'e')",بَرَندِه,,,,,False,,
هم‌قد‌و‌قواره,"('h', 'a', 'm', 'q', 'a', 'd', 'd', 'o', 'q', 'a', 'v', 'A', 'r', 'e')",هَم‌قَدُّ‌و‌قَوارِه,,,,,False,,
چند‌طبقه,"('C', 'a', 'n', 'd', 't', 'a', 'b', 'a', 'q', 'e')",چَند‌طَبَقِه,,,,,False,,
آب‌رسان,"('?', 'A', 'b', 'r', 'e', 's', 'A', 'n')",آب‌رِسان,,,,,False,,
سیاخاک,"('s', 'i', 'y', 'A', 'x', 'A', 'k')",سیاخاک,,,3,3,False,,
بیمه‌گزار,"('b', 'i', 'm', 'e', 'g', 'o', 'z', 'A', 'r')",بیمِه‌گُزار,,,7,6,False,,
چوخه,"('C', 'u', 'x', 'e')",چوخِه,,,,,False,,
عهد‌‌شکنی,"('?', 'a', 'h', 'd', 'S', 'e', 'k', 'a', 'n', 'i')",عَهد‌‌شِکَنی,,,,,False,,
اصلاح‌کنندگی,"('?', 'e', 's', 'l', 'A', 'h', 'k', 'o', 'n', 'a', 'n', 'd', 'e', 'g', 'i')",اِصلاح‌کُنَندِگی,,,,,False,,
چلنگری,"('C', 'e', 'l', 'a', 'n', 'g', 'a', 'r', 'i')",چِلَنگَری,,,,,False,,
بی‌وقفه,"('b', 'i', 'v', 'a', 'q', 'f', 'e')",بی‌وَقفِه,,,,,False,,
فیلبان,"('f', 'i', 'l', 'b', 'A', 'n')",فیلبان,,,,,False,,
معترضانه,"('m', 'o', '?', 't', 'a', 'r', 'e', 'z', 'A', 'n', 'e')",مُعتَرِضانِه,,,,,False,,
جنون,"('j', 'o', 'n', 'u', 'n')",جُنون,,,,,False,,
لایتخلف,"('l', 'A', 'y', 'a', 't', 'a', 'x', 'a', 'l', 'l', 'a', 'f')",لایَتَخَلَّف,,,,,False,,
شلوغ‌‌بازار,"('S', 'u', 'l', 'u', 'q', 'b', 'A', 'z', 'A', 'r')",شُلوغ‌‌بازار,,,,,False,,
ابستروکسیون,"('?', 'o', 'b', 's', 't', 'r', 'u', 'k', 's', 'i', 'y', 'o', 'n')",اُبستروکسیون,,,,,False,,
هدایت‌نشده,"('h', 'e', 'd', 'A', 'y', 'a', 't', 'n', 'a', 'S', 'o', 'd', 'e')",هِدایَت‌نَشُدِه,,,,,False,,
طبیعت‌‌شناسی,"('t', 'a', 'b', 'i', '?', 'a', 't', 'S', 'e', 'n', 'A', 's', 'i')",طَبیعَت‌‌شِناسی,,,,,False,,
قرت,"('q', 'o', 'r', 't')",قُرت,,,,,False,,
پدری,"('p', 'e', 'd', 'a', 'r', 'i')",پِدَری,,,,,False,,
خوش‌ذقن,"('x', 'o', 'S', 'z', 'a', 'q', 'a', 'n')",خوش‌ذَقَن,1,,,,False,,
مرده‌ریگ,"('m', 'o', 'r', 'd', 'e', 'r', 'i', 'g')",مُردِه‌ریگ,,,,,False,,
کاروان,"('k', 'A', 'r', 'v', 'A', 'n')",کاروان,,,,,False,,
پاک‌بین,"('p', 'A', 'k', 'b', 'i', 'n')",پاک‌بین,,,,,False,,
تعدیل,"('t', 'a', '?', 'd', 'i', 'l')",تَعدیل,,,,,False,,
دلگشایی,"('d', 'e', 'l', 'g', 'o', 'S', 'A', 'y', 'i')",دِلگُشایی,,,,,False,,
نیلوفر,"('n', 'i', 'l', 'u', 'f', 'a', 'r')",نیلوفَر,,,,,False,,
شیل,"('S', 'i', 'l')",شیل,,,,,False,,
فلفل‌‌سبز,"('f', 'e', 'l', 'f', 'e', 'l', 's', 'a', 'b', 'z')",فِلفِل‌‌سَبز,,,,,False,,
قراردادنامه,"('q', 'a', 'r', 'A', 'r', 'd', 'A', 'd', 'n', 'A', 'm', 'e')",قَراردادنامِه,,,,,False,,
شم,"('S', 'a', 'm', 'm')",شَم,,,,,False,,
نوگرایی,"('n', 'o', 'g', 'e', 'r', 'A', 'y', 'i')",نوگِرایی,1,,,,False,,
میخوش,"('m', 'e', 'y', 'x', 'o', 'S')",مِیخوش,3,,,,False,,
خرده‌مایه,"('x', 'o', 'r', 'd', 'e', 'm', 'A', 'y', 'e')",خُردِه‌مایِه,,,6,5,False,,
باد‌کرده,"('b', 'A', 'd', 'k', 'a', 'r', 'd', 'e')",باد‌کَردِه,,,,,False,,
خنجر,"('x', 'a', 'n', 'j', 'a', 'r')",خَنجَر,,,,,False,,
فراگشت,"('f', 'a', 'r', 'A', 'g', 'a', 'S', 't')",فَراگَشت,,,,,False,,
شاه‌مقصود,"('S', 'A', 'h', 'm', 'a', 'q', 's', 'u', 'd')",شاه‌مَقصود,,,,,False,,
زنجان‌رود,"('z', 'a', 'n', 'j', 'A', 'n', 'r', 'u', 'd')",زَنجان‌رود,,,,,False,,
ذبیحیان,"('z', 'a', 'b', 'i', 'h', 'i', 'y', 'A', 'n')",ذَبیحیان,,,7,6,False,,
بارآور,"('b', 'A', 'r', 'A', 'v', 'a', 'r')",بارآوَر,,,,,False,,
بادوبروت,"('b', 'A', 'd', 'o', 'b', 'u', 'r', 'u', 't')",بادوبُروت,3,,,,False,,
تورانی,"('t', 'u', 'r', 'A', 'n', 'i')",تورانی,,,,,False,,
برکات,"('b', 'a', 'r', 'a', 'k', 'A', 't')",بَرَکات,,,,,False,,
پرندگان,"('p', 'a', 'r', 'a', 'n', 'd', 'e', 'g', 'A', 'n')",پَرَندِگان,,,,,False,,
انزال,"('?', 'e', 'n', 'z', 'A', 'l')",اِنزال,,,,,False,,
چینی‌بندزن,"('C', 'i', 'n', 'i', 'b', 'a', 'n', 'd', 'z', 'a', 'n')",چینی‌بَندزَن,,,,,False,,
آیینه‌خانه,"('?', 'A', 'y', 'i', 'n', 'e', 'x', 'A', 'n', 'e')",آیینِه‌خانِه,,,7,6,False,,
چیتی,"('C', 'i', 't', 'i')",چیتی,,,,,False,,
شانکر,"('S', 'A', 'n', 'k', 'e', 'r')",شانکِر,,,,,False,,
دوره,"('d', 'o', 'u', 'r', 'e')",دُورِه,1,,,,False,,
فلانی,"('f', 'o', 'l', 'A', 'n', 'i')",فُلانی,,,,,False,,
ساتن,"('s', 'A', 't', 'a', 'n')",ساتَن,,,,,False,,
اطلاع‌یابی,"('?', 'e', 't', 't', 'e', 'l', 'A', '?', 'y', 'A', 'b', 'i')",اِطِّلاع‌یابی,,,6,4,False,,
عشرت,"('?', 'e', 'S', 'r', 'a', 't')",عِشرَت,,,,,False,,
نوجوانی,"('n', 'o', 'j', 'a', 'v', 'A', 'n', 'i')",نوجَوانی,1,,,,False,,
صندل,"('s', 'a', 'n', 'd', 'a', 'l')",صَندَل,,,,,False,,
هجو,"('h', 'a', 'j', 'v')",هَجو,,,,,False,,
نصفه,"('n', 'e', 's', 'f', 'e')",نِصفِه,,,,,False,,
خفچه,"('x', 'a', 'f', 'C', 'e')",خَفچِه,,,,,False,,
زده‌دار,"('z', 'a', 'd', 'e', 'd', 'A', 'r')",زَدِه‌دار,,,5,4,False,,
جارویی,"('j', 'A', 'r', 'u', 'y', 'i')",جارویی,,,,,False,,
خدری,"('x', 'a', 'd', 'a', 'r', 'i')",خَدَری,,,,,False,,
لیموعمانی,"('l', 'i', 'm', 'u', '?', 'a', 'm', 'A', 'n', 'i')",لیموعَمانی,,,,,False,,
بالابرنده,"('b', 'A', 'l', 'A', 'b', 'a', 'r', 'a', 'n', 'd', 'e')",بالابَرَندِه,,,,,False,,
دوخانه,"('d', 'o', 'x', 'A', 'n', 'e')",دوخانِه,1,,,,False,,
هرمافرودیت,"('h', 'e', 'r', 'm', 'A', 'f', 'e', 'r', 'o', 'd', 'i', 't')",هِرمافِرودیت,6,,,,False,,
باهم,"('b', 'A', 'h', 'a', 'm')",باهَم,,,,,False,,
دعوت,"('d', 'a', '?', 'v', 'a', 't')",دَعوَت,,,,,False,,
دو‌خوابه,"('d', 'o', 'x', 'A', 'b', 'e')",دو‌خوابِه,1,4,,,False,,
مختلس,"('m', 'o', 'x', 't', 'a', 'l', 'e', 's')",مُختَلِس,,,,,False,,
سندسازی,"('s', 'a', 'n', 'a', 'd', 's', 'A', 'z', 'i')",سَنَدسازی,,,,,False,,
تمام‌شنی,"('t', 'a', 'm', 'A', 'm', 'S', 'e', 'n', 'i')",تَمام‌شِنی,,,,,False,,
کائن,"('k', 'A', '?', 'e', 'n')",کائِن,,,,,False,,
اجدادی,"('?', 'a', 'j', 'd', 'A', 'd', 'i')",اَجدادی,,,,,False,,
بختانه,"('b', 'a', 'x', 't', 'A', 'n', 'e')",بَختانِه,,,,,False,,
نئاندرتال,"('n', 'e', '?', 'A', 'n', 'd', 'e', 'r', 't', 'A', 'l')",نِئاَندِرتال,,,,,False,,
چند‌تمدنی,"('C', 'a', 'n', 'd', 't', 'a', 'm', 'a', 'd', 'd', 'o', 'n', 'i')",چَند‌تَمَدُّنی,,,,,False,,
حاکمی,"('h', 'A', 'k', 'e', 'm', 'i')",حاکِمی,,,,,False,,
فربد,"('f', 'a', 'r', 'b', 'o', 'd')",فَربُد,,,,,False,,
دگروار,"('d', 'e', 'g', 'a', 'r', 'v', 'A', 'r')",دِگَروار,,,,,False,,
