grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
پشت‌گلی,"('p', 'o', 'S', 't', 'g', 'o', 'l', 'i')",پُشت‌گُلی,,,,,False,,
تحمیل‌کننده,"('t', 'a', 'h', 'm', 'i', 'l', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",تَحمیل‌کُنَندِه,,,,,False,,
مهیا‌کننده,"('m', 'o', 'h', 'a', 'y', 'y', 'A', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",مُهَیا‌کُنَندِه,,,6,5,False,,
خائض,"('x', 'A', '?', 'e', 'z')",خائِض,,,,,False,,
مقرنس‌کاری,"('m', 'o', 'q', 'a', 'r', 'n', 'a', 's', 'k', 'A', 'r', 'i')",مُقَرنَس‌کاری,,,,,False,,
مستحیل,"('m', 'o', 's', 't', 'a', 'h', 'i', 'l')",مُستَحیل,,,,,False,,
فنوتیپ,"('f', 'e', 'n', 'o', 't', 'i', 'p')",فِنوتیپ,2,,,,False,,
کاکائو,"('k', 'A', 'k', 'A', 'o', 'y', 'e')",کاکُائو,,,,,False,,
به‌حقیقت,"('b', 'e', 'h', 'a', 'q', 'i', 'q', 'a', 't')",بِه‌حَقیقَت,,,,,False,,
قوام‌‌السلطنه,"('q', 'a', 'v', 'A', 'm', 'o', 's', 's', 'a', 'l', 't', 'a', 'n', 'e')",قَوام‌‌اُلسَّلطَنِه,,,,,False,,
قمرالملوک,"('q', 'a', 'm', 'a', 'r', 'o', 'l', 'm', 'u', 'l', 'u', 'k')",قَمَراُلمُلوک,,,,,False,,
اداره‌کننده,"('?', 'e', 'd', 'A', 'r', 'e', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",اِدارِه‌کُنَندِه,,,,,False,,
پرکار,"('p', 'o', 'r', 'k', 'A', 'r')",پُرکار,,,,,False,,
قدر,"('q', 'a', 'd', 'a', 'r')",قَدَر,,,,,False,,
آذروش,"('?', 'A', 'z', 'a', 'r', 'v', 'a', 'S')",آذَروَش,,,,,False,,
اسپرفیت,"('?', 'e', 's', 'p', 'o', 'r', 'o', 'f', 'i', 't')",اِسپُرُفیت,,,,,False,,
مصنفات,"('m', 'o', 's', 'a', 'n', 'n', 'a', 'f', 'A', 't')",مُصَنَّفات,,,8,,False,,
دخترباز,"('d', 'o', 'x', 't', 'a', 'r', 'b', 'A', 'z')",دُختَرباز,,,,,False,,
خواستگاری,"('x', 'A', 's', 't', 'e', 'g', 'A', 'r', 'i')",خواستِگاری,,1,,,False,,
تمام‌رسمی,"('t', 'a', 'm', 'A', 'm', 'r', 'a', 's', 'm', 'i')",تَمام‌رَسمی,,,,,False,,
شقاقی,"('S', 'a', 'q', 'A', 'q', 'i')",شَقاقی,,,,,False,,
ایستا,"('?', 'i', 's', 't', 'A')",ایستا,,,,,False,,
شلپ,"('S', 'e', 'l', 'e', 'p')",شِلِپ,,,,,False,,
اکلیل‌کاری,"('?', 'a', 'k', 'l', 'i', 'l', 'k', 'A', 'r', 'i')",اَکلیل‌کاری,,,,,False,,
حور,"('h', 'u', 'r')",حور,,,,,False,,
گویچه,"('g', 'u', 'y', 'C', 'e')",گویچِه,,,,,False,,
حالاحالا,"('h', 'A', 'l', 'A', 'h', 'A', 'l', 'A')",حالاحالا,,,,,False,,
این‌جور,"('?', 'i', 'n', 'j', 'u', 'r')",این‌جور,,,,,False,,
